"Steps","Aim Temp (K)","E solute scaled (kJ/mole)","E solute not scaled (kJ/mole)","E solvent (kJ/mole)","E solvent-solute (kJ/mole)"
162500,387.298,-508.83,845.449,-36077.7,-2304.86
162750,387.298,-479.309,859.546,-36079.1,-2465.71
163000,387.298,-513.006,828.402,-36157.9,-2392.07
163250,387.298,-520.477,891.242,-35939.4,-2296.25
163500,387.298,-540.424,805.386,-36126,-2290.36
163750,387.298,-476.973,796.127,-36091.1,-2386.12
164000,387.298,-579.544,873.344,-36230.7,-2360.98
164250,387.298,-713.926,780.53,-36076.2,-2052.7
164500,387.298,-645.097,787.472,-35915.3,-2252
164750,387.298,-676.588,893.051,-35905.7,-2075.5
165000,387.298,-646.104,896.65,-35559.7,-2211.5
165250,387.298,-679.876,842.656,-35698.5,-2088.73
165500,387.298,-647.047,960.18,-35848.2,-2109.12
165750,387.298,-640.001,825.421,-35620.4,-2351.82
166000,387.298,-654.766,839.924,-36041,-2185.99
166250,387.298,-679.283,779.095,-36254.1,-2171.46
166500,387.298,-648.577,796.132,-36365.5,-2110.59
166750,387.298,-677.689,835.718,-35987.9,-2204.81
167000,387.298,-695.264,843.404,-35895.6,-2235.65
167250,387.298,-680.26,847.774,-36111.1,-2044.15
167500,387.298,-636.7,830.599,-35993.7,-2137.19
167750,387.298,-688.158,839.027,-35778.5,-2090.57
168000,387.298,-719.555,830.909,-35516.5,-2189.69
168250,387.298,-634.591,754.524,-35848.8,-2228.12
168500,387.298,-704.418,865.218,-35962.9,-2058.57
168750,387.298,-707.166,777.343,-36016.4,-2154.98
169000,387.298,-701.703,813.067,-35804,-1929.01
169250,500,-608.715,782.418,-36034.3,-1700.7
169500,500,-651.368,771.768,-36387.2,-1818.88
169750,500,-696.267,682.915,-36025.5,-1751.23
170000,500,-632.64,717.336,-35837.3,-1937.71
170250,500,-511.863,753.94,-36006.8,-1859.96
170500,500,-542.079,784.881,-36149.2,-1976.23
170750,500,-552.476,734.971,-36036,-1943.74
171000,500,-608.122,773.804,-36259.6,-1886.91
171250,500,-551.054,733.572,-35949.5,-2038.99
171500,500,-557.687,844.913,-35697.6,-2075.29
171750,500,-556.265,779.12,-36324,-1833.13
172000,500,-600.397,740.708,-36130.1,-2004.88
172250,500,-694.09,724.248,-36039.4,-1824.69
172500,500,-497.9,778.456,-35956.6,-2077.41
172750,500,-505.7,861.236,-36366.3,-2120.54
173000,500,-480.776,738.148,-36152.2,-1946.71
173250,500,-493.717,833.353,-36120.9,-1852.41
173500,500,-576.185,805.386,-36186.8,-1861.76
173750,500,-568.634,721.32,-35913.5,-1885.97
174000,500,-582.725,760.007,-35956.3,-1932.4
174250,500,-504.251,762.502,-35804.4,-2100.18
174500,500,-633.96,770.335,-35817.6,-1789.11
174750,500,-563.348,707.914,-36052.8,-1886.9
175000,500,-558.882,820.038,-35884.9,-1953.78
175250,500,-538.851,750.223,-36133.9,-1881.97
175500,500,-535.581,737.369,-35853.2,-2250.45
175750,387.298,-639.801,808.916,-35972.2,-2087.97
176000,387.298,-685.301,806.306,-35564.7,-2132.56
176250,387.298,-602.69,863.244,-35930.7,-2183.83
176500,387.298,-588.035,813.417,-35956,-2257.04
176750,387.298,-657.089,864.589,-35791.5,-2053.75
177000,387.298,-715.937,830.611,-35888.6,-1983.38
177250,387.298,-653.461,781.547,-36188.5,-2096.01
177500,387.298,-703.509,800.459,-36338.4,-2022.13
177750,387.298,-725.745,802.226,-36133.6,-2003.82
178000,387.298,-716.029,862.368,-35838.2,-2132.88
178250,387.298,-663.147,802.285,-35733.7,-2242.49
178500,387.298,-686.901,887.4,-36017.3,-2112.03
178750,387.298,-629.243,821.88,-35710.6,-2047.29
179000,387.298,-566.822,834.992,-35822.5,-2140.56
179250,500,-546.646,761.051,-36180.5,-1872.08
179500,500,-540.083,757.41,-36015.5,-1885.15
179750,500,-632.796,739.936,-35887,-1778.67
180000,500,-534.352,733.11,-35662.2,-2007.96
180250,500,-585.533,724.114,-36078.5,-2071.59
180500,500,-582.428,717.675,-36250.2,-2064.59
180750,500,-558.876,712.169,-36614.6,-2109.78
181000,500,-444.555,756.729,-36171,-2089.98
181250,500,-603.963,759.989,-36332.8,-1923.1
181500,500,-589.39,738.478,-36250.7,-1825.34
181750,500,-553.029,752.468,-36150.5,-1818.45
182000,500,-554.18,782.205,-36035.5,-2093.51
182250,387.298,-551.263,837.326,-36042.2,-2205.19
182500,387.298,-510.615,842.69,-35718.2,-2450.37
182750,387.298,-442.742,904.366,-36026.1,-2504.37
183000,387.298,-451.371,836.377,-36259.2,-2321.64
183250,500,-433.309,730.077,-35919.1,-2180.86
183500,500,-435.976,748.837,-35920,-2078.32
183750,500,-532.12,729.91,-36293.3,-1981.77
184000,500,-460.593,727.845,-35973.2,-2223.5
184250,500,-591.249,683.536,-35948.3,-2054.33
184500,500,-555.559,795.171,-36049.2,-2066.99
184750,500,-556.743,809.077,-36388.2,-1933.15
185000,500,-549.151,747.327,-35983,-2096.31
185250,500,-565.836,785.558,-35759.9,-2021.46
185500,500,-498.675,827.649,-35858.3,-2085.45
185750,500,-510.607,757.752,-35952.6,-2061.32
186000,500,-546.727,735.077,-35987.8,-1958.41
186250,500,-556.141,731.284,-35881.3,-1975.26
186500,500,-493.876,737.172,-35900.2,-1979.89
186750,500,-573.419,745.02,-36076.3,-1970.33
187000,500,-576.169,721.085,-36078.7,-1961.45
187250,500,-589.1,752.364,-35843.3,-1945.66
187500,500,-557.599,741.528,-35809.1,-2104.25
187750,500,-543.09,730.772,-35892.6,-1900.75
188000,500,-595.101,737.503,-35718.2,-1999.85
188250,500,-609.016,719,-35824.8,-1968.5
188500,500,-570.251,705.803,-36068.1,-1997.46
188750,500,-619.379,746.626,-36120.1,-2059.62
189000,500,-555.216,758.739,-36022.3,-1997.61
189250,500,-600.297,762.596,-36062.5,-1862.83
189500,500,-488.544,799.178,-35952.6,-2047.54
189750,500,-527.188,764.9,-35704.7,-2031.58
190000,500,-464.716,700.233,-36045,-1991.08
190250,500,-497.624,770.1,-35970.4,-2139.99
190500,500,-469.409,768.554,-36117.9,-2025.94
190750,500,-550.523,736.615,-36123.7,-2101.33
191000,500,-545.699,708.558,-35831.2,-2122.91
191250,500,-515.802,786.151,-35911.4,-1990.53
191500,500,-404.037,770.078,-35838.4,-2335.88
191750,500,-325.601,736.688,-35957.4,-2137.87
192000,500,-427.998,738.75,-36054.5,-2209.37
192250,500,-374.978,734.385,-35882.4,-2301.04
192500,500,-335.441,752.31,-35809.3,-2445.38
192750,500,-410.31,771.363,-35843.6,-2528.06
193000,500,-352.869,751.025,-35780.4,-2337.28
193250,500,-357.61,779.725,-35957.5,-2322.58
193500,500,-302.188,759.816,-35843.4,-2244.88
193750,500,-445.182,773.097,-35680.9,-2293.05
194000,500,-448.216,763.664,-35919.7,-2185.21
194250,500,-515.563,762.784,-36340.1,-2104.88
194500,500,-610.868,661.254,-35896.1,-2038.36
194750,387.298,-701.531,827.328,-35932,-2089.23
195000,387.298,-648.396,819.105,-35992.5,-2073.77
195250,387.298,-661.321,843.323,-35684.6,-2235.45
195500,387.298,-677.863,839.547,-35794.7,-2159.38
195750,387.298,-638.003,833.005,-35546.7,-2130.45
196000,387.298,-695.657,828.734,-35664.7,-2158.96
196250,387.298,-665.876,831.855,-35803,-2163.86
196500,387.298,-675.708,878.958,-35760.6,-2181.45
196750,387.298,-686.168,810.887,-35572.9,-2066.87
197000,387.298,-685.867,794.209,-35913.4,-2236.38
197250,387.298,-677.841,862.095,-35854,-2124.33
197500,387.298,-727.389,811.328,-36021.2,-2068.47
197750,387.298,-662.956,844.188,-35975.2,-2089.01
198000,387.298,-708.64,840.956,-35779.9,-1962.91
198250,500,-621.82,680.597,-35585.7,-1964.62
198500,500,-685.866,714.98,-35843.3,-1938.89
198750,387.298,-659.938,790.994,-36001.3,-2054.2
199000,387.298,-670.315,802.301,-35693.1,-2177.61
199250,387.298,-700.157,849.665,-36076.1,-2059.23
199500,387.298,-725.504,777.342,-35853.2,-2087.52
199750,387.298,-700.205,781.618,-35605.8,-2296.39
200000,387.298,-633.996,748.021,-35679.5,-2093.21
200250,500,-628.967,732.461,-36084.4,-1981.52
200500,500,-514.581,689.017,-35978.9,-1927.82
200750,500,-607.091,808.618,-35980.5,-1957.26
201000,500,-588.07,763.812,-35896.2,-1969.63
201250,500,-555.165,698.465,-36062.8,-1947.58
201500,500,-593.59,746.493,-36238.1,-1958
201750,500,-605.027,705.279,-36015.6,-1822.4
202000,500,-632.518,768.936,-35898.4,-1839.19
202250,500,-496.498,751.341,-36061.3,-2110.18
202500,500,-633.667,685.389,-36305.9,-1826.08
202750,500,-572.573,732.103,-35948.4,-1881.74
203000,500,-643.944,706.376,-35610.8,-1971.12
203250,500,-645.114,727.068,-35846.1,-1960.64
203500,500,-575.583,773.128,-35795.3,-1868.91
203750,500,-539.062,734.731,-35549,-2005.87
204000,500,-640.971,769.356,-35780.8,-1907.14
204250,500,-511.897,834.6,-36007.9,-1903.14
204500,500,-516.858,792.9,-36238.6,-1874.3
204750,500,-614.454,739.225,-35896.9,-2032.59
205000,500,-544.455,796.829,-35957.7,-2015.89
205250,500,-557.488,758.027,-35846.3,-2054.33
205500,500,-630.996,749.484,-36320.9,-1895.75
205750,500,-651.514,762.606,-35887.9,-1810.65
206000,500,-580.749,775.604,-35982.3,-1816.13
206250,500,-651.724,788.67,-35829.2,-1754.22
206500,500,-581.324,719.742,-35847.4,-1918.14
206750,500,-598.531,732.291,-36015.8,-1839.79
207000,500,-628.055,722.921,-36131.9,-1968.63
207250,500,-655.627,693.434,-36284.1,-1947.51
207500,500,-678.989,729.571,-36405.6,-1713.8
207750,500,-605.886,746.193,-35891.8,-1892.37
208000,500,-638.584,730.014,-35779.3,-1822.7
208250,500,-564.39,742.867,-35905.3,-1875.53
208500,500,-555.582,783.396,-35996.9,-1908.33
208750,500,-611.898,734.583,-36250,-1826.42
209000,500,-624.261,738.25,-36294.2,-1779.24
209250,500,-711.406,755.721,-36000.3,-1894.4
209500,500,-642.05,704.271,-36021,-1965.42
209750,500,-589.01,772.499,-36060.1,-2112.87
210000,500,-590.435,700.401,-36417.6,-1848.43
210250,500,-575.404,734.334,-36193.6,-1862.43
210500,500,-695.647,713.461,-36038.6,-1724.32
210750,500,-597.712,744.626,-35906.6,-1946.35
211000,500,-663.23,726.091,-36014.2,-1855.11
211250,500,-608.493,732.945,-35976.8,-1952.8
211500,500,-615.004,700.974,-36114.1,-2030.9
211750,500,-555.967,773.96,-36112.8,-1972.61
212000,500,-578.291,787.704,-36179.6,-1889.26
212250,500,-583.384,765.57,-35921.2,-1915.14
212500,500,-674.368,751.525,-35948.7,-1699.94
212750,500,-606.534,761.399,-36079.8,-1798.01
213000,500,-577.398,803.688,-36225,-1894.33
213250,500,-596.861,792.667,-36165.9,-1969.53
213500,500,-612.943,756.091,-35799.4,-1867.71
213750,500,-566.296,764.981,-35893.9,-1767.16
214000,500,-618.486,674.678,-35767.1,-1870.17
214250,500,-700.455,797.913,-35962.6,-1866.29
214500,500,-682.369,734.005,-36238.6,-1801.33
214750,500,-660.886,724.237,-36170,-1820.42
215000,500,-615.898,710.834,-36233.3,-1893.54
215250,500,-642.675,736.693,-36086.4,-1931.1
215500,500,-641.971,740.92,-36150.6,-1830.78
215750,500,-631.022,746.121,-36283,-1895.59
216000,500,-678.972,730.071,-36086.6,-1893.33
216250,500,-628.724,708.903,-36251.3,-1830.29
216500,500,-662.484,786.875,-36201.4,-1842.05
216750,500,-607.117,751.653,-35691.6,-2069.86
217000,500,-588.038,718.076,-35895.1,-1877.83
217250,500,-655.036,717.12,-36069.5,-1946.55
217500,500,-657.588,743.017,-35988.8,-1799.41
217750,500,-588.247,695.547,-36037.2,-1970.31
218000,500,-720.724,731.517,-36364.1,-1792.11
218250,500,-660.641,685.967,-36251.6,-1949.39
218500,500,-641.945,710.309,-36145.3,-1963.96
218750,500,-661.434,725.968,-36121.5,-1978.02
219000,500,-616.954,740.606,-36173.8,-2005.49
219250,500,-609.548,686.794,-36131.3,-1995.05
219500,500,-664.341,684.482,-36287.3,-1887.83
219750,500,-538.53,753.527,-36284.1,-2099.26
220000,500,-606.003,766.167,-36258.1,-1868.26
220250,500,-606.629,731.802,-35993.2,-1970.44
220500,500,-689.899,748.832,-36117.3,-1859.35
220750,500,-643.747,745.757,-35995.9,-1986.8
221000,500,-661.911,698.409,-35766.8,-1827.92
221250,500,-598.929,816.444,-35794.2,-1966.93
221500,500,-651.548,745.671,-35849.5,-1967.08
221750,500,-627.871,731.848,-35879.5,-1980.2
222000,500,-647.581,693.589,-36076,-1900.75
222250,500,-675.657,776.413,-36302.2,-1830.78
222500,500,-557.566,744.636,-36261.8,-1962.26
222750,500,-574.767,768.604,-36006.9,-1884.81
223000,500,-700.729,782.607,-35958.9,-1917.19
223250,500,-621.815,743.692,-35947.1,-1957.49
223500,500,-671.673,763.689,-36046.7,-1919.22
223750,500,-694.826,695.033,-36004.4,-1912.43
224000,500,-661.514,670.593,-36185.5,-1775.36
224250,500,-636.099,719.393,-36248.5,-1946.69
224500,500,-679.079,738.874,-35922.5,-1782.06
224750,500,-615.882,738.742,-36170.1,-1803.29
225000,500,-700.337,743.618,-35975,-1999.47
225250,387.298,-677.281,851.804,-35587.9,-2204.07
225500,387.298,-660.602,852.387,-35827.8,-2048.14
225750,387.298,-639.622,859.071,-36058.6,-2144.51
226000,387.298,-722.971,792.635,-35939.7,-2208.88
226250,387.298,-720.692,859.984,-35312.2,-2258.67
226500,387.298,-747.133,846.712,-35712.1,-2155.09
226750,387.298,-677.21,786.645,-35800.3,-2100.03
227000,387.298,-644.577,805.236,-36070.7,-2148.1
227250,387.298,-688.751,818.139,-35912.1,-2077.79
227500,387.298,-751.91,821.703,-35723.8,-2181.14
227750,300,-799.278,864.881,-35694.2,-2349.8
228000,300,-794.529,896.243,-35981,-2205.69
228250,300,-771.107,902.24,-35975.3,-2287.5
228500,300,-817.074,967.74,-35933.5,-2254.03
228750,300,-816.925,901.248,-36005.4,-2265.46
229000,300,-788.421,929.77,-35590.9,-2336.87
229250,300,-741.844,911.812,-35511.7,-2444.52
229500,300,-757.192,961.71,-35221.6,-2508.22
229750,300,-690.846,945.039,-35473.9,-2520.44
230000,300,-758.59,959.253,-35479,-2430.69
230250,300,-739.109,911.094,-35411.2,-2286.99
230500,300,-757.858,918.297,-35773.9,-2207.39
230750,300,-728.252,972.05,-35549,-2352.23
231000,300,-722.937,882.542,-35716.1,-2362.34
231250,300,-735.111,890.155,-35503.4,-2468.47
231500,300,-756.048,940.31,-35738.1,-2269.5
231750,300,-780.96,944.702,-35588,-2152.82
232000,300,-726.862,902.215,-35841.1,-2243.51
232250,300,-730.026,982.006,-35954.7,-2354.71
232500,300,-726.45,923.054,-35566.4,-2264.31
232750,300,-725.87,946.365,-35615.5,-2209.18
233000,300,-774.714,967.721,-35485.3,-2398.33
233250,300,-650.075,950.089,-35644.3,-2554.31
233500,300,-732.347,933.989,-35861.8,-2292.9
233750,300,-763.605,902.341,-35777.4,-2272.19
234000,300,-751.612,922.275,-35763.4,-2334.13
234250,300,-708.499,954.002,-35879.3,-2299.56
234500,300,-698.043,908.878,-35284,-2423.8
234750,300,-770.368,923.763,-35429,-2309.04
235000,300,-746.357,937.428,-35436.5,-2269.09
235250,300,-742.937,1034.99,-35808.9,-2342.16
235500,300,-744.323,937.88,-35653.6,-2493.58
235750,300,-794.577,930.674,-35845.5,-2385.55
236000,300,-792.331,862.326,-35764.4,-2267.73
236250,300,-797.605,951.593,-35697.3,-2356.32
236500,300,-759.011,912.505,-35766.1,-2419.05
236750,300,-783.969,939.65,-36089.4,-2324.6
237000,300,-775.667,980.603,-36192.4,-2358.88
237250,300,-734.077,950.551,-35946.8,-2388.04
237500,300,-769.989,964.143,-36176.4,-2285.33
237750,300,-767.396,916.666,-36125.7,-2361.54
238000,300,-724.667,947.865,-35856.6,-2441.47
238250,300,-824.439,911.26,-36030.3,-2163.17
238500,300,-776.451,910.51,-35617.6,-2309.69
238750,300,-752.199,921.352,-35960.2,-2268.31
239000,300,-753.896,878.458,-35917,-2221.98
239250,300,-711.006,918.847,-35857.6,-2342.84
239500,300,-673.998,954.684,-35626.8,-2479.3
239750,300,-743.146,872.284,-35778.7,-2493.94
240000,300,-780.119,903.584,-35981.7,-2272.2
240250,300,-758.846,895.067,-35707.8,-2322.87
240500,300,-717.459,882.657,-35920.4,-2417.4
240750,300,-767.225,953.213,-36127.5,-2471.75
241000,300,-775.034,888.579,-35953.6,-2436.57
241250,300,-714.463,874.327,-36114.1,-2418.49
241500,300,-755.205,894.222,-36015.9,-2346.32
241750,300,-805.506,956.117,-36025.3,-2276.31
242000,300,-712.222,911.621,-36100.4,-2350.94
242250,300,-761.882,960.522,-36006.3,-2197.25
242500,300,-761.366,989.088,-36098.5,-2290.96
242750,300,-792.865,946.594,-35695.4,-2278.8
243000,300,-805.685,1024.29,-35619.4,-2340.03
243250,300,-793.451,974.877,-35669.5,-2260.7
243500,300,-724.127,937.923,-35604.4,-2471.5
243750,300,-831.031,918.801,-35885.9,-2159.9
244000,300,-817.298,902.463,-35582,-2220.7
244250,300,-733.373,930.944,-35724.1,-2398.4
244500,300,-708.272,948.254,-35642,-2322.38
244750,300,-683.577,918.413,-35489.1,-2409.27
245000,300,-746.48,935.908,-35862.9,-2262.67
245250,300,-771.965,917.491,-35797.1,-2304.49
245500,300,-740.294,947.912,-35998.5,-2275.79
245750,300,-793.398,878.302,-35589,-2361.11
246000,300,-747.916,933.908,-35505.8,-2357.52
246250,300,-760.781,909.794,-35728.2,-2383.06
246500,300,-742.329,919.474,-35727,-2382.11
246750,300,-754.034,947.216,-35944.6,-2352.31
247000,300,-767.619,955.229,-35930.5,-2435.11
247250,300,-732.782,928.931,-35929.8,-2311.22
247500,300,-737.69,907.076,-35927.6,-2270.45
247750,300,-802.545,947.95,-35843.5,-2259.26
248000,300,-725.229,938.767,-35878.7,-2339.83
248250,300,-824.207,925.419,-35918.9,-2193.11
248500,300,-751.625,890.804,-35820.7,-2298.66
248750,300,-787.618,978.206,-35752.7,-2305.62
249000,300,-787.394,908.98,-36294.4,-2221.96
249250,300,-773.539,908.131,-36124.8,-2276.63
249500,300,-773.313,1018.89,-36038.2,-2242.64
249750,300,-788.552,891.084,-35608,-2345.73
250000,300,-790.416,1019.06,-36040.9,-2317.69
