"Steps","Aim Temp (K)","E solute scaled (kJ/mole)","E solute not scaled (kJ/mole)","E solvent (kJ/mole)","E solvent-solute (kJ/mole)"
13500,500,1564.03,602.956,-66164.2,-4349.87
13750,500,1701.25,671.09,-66187.9,-4384.28
14000,500,1694.3,618.016,-65909.8,-4771.93
14250,500,1688.89,622.957,-65724.9,-4594.08
14500,500,1650.25,694.583,-65679.5,-4726.44
14750,500,1922.26,708.623,-65733.4,-4703.36
15000,500,1812.08,645.171,-65767.6,-4726.58
15250,500,1734.62,653.614,-65758.6,-4751.95
15500,500,1712.42,679.284,-65781.1,-4656.14
15750,500,1599.1,656.918,-65914.6,-4543.96
16000,500,1716.74,652.741,-65260.7,-4835.11
16250,500,1705.72,631.338,-65650.9,-4639.02
16500,500,1738.43,618.017,-65359.8,-4726.93
16750,500,1787.21,690.902,-65651.6,-5007.98
17000,500,1724.9,706.319,-65894.3,-4453.99
17250,500,1776.78,726.637,-65989.1,-4514.21
17500,500,1671.95,622.074,-65861.9,-4462.98
17750,500,1703.08,635.076,-65498.6,-4697.29
18000,500,1796.11,655.825,-65940.6,-4552.4
18250,500,1762.77,612.452,-65848.6,-4645.37
18500,500,1884.13,737.824,-65655.7,-4750.17
18750,500,1844.48,706.258,-65334.3,-4902.94
19000,500,1619.78,651.073,-65538.7,-4439.59
19250,500,1739.38,658.111,-66299.5,-4499.54
19500,500,1835.83,667.012,-65801.4,-4841.52
19750,500,1640.81,595.748,-66098.2,-4374.62
20000,500,1740.01,649.541,-65745,-4871.9
20250,500,1610.42,605.155,-65960.6,-4529.87
20500,500,1663.22,613.859,-66063.3,-4497.93
20750,500,1726.25,688.085,-65747.5,-4559.82
21000,500,1722.03,612.4,-65875.6,-4683.43
21250,500,1740.13,700.009,-65654.6,-4667.57
21500,500,1785.58,611.072,-66107.4,-4528.7
21750,500,1656.69,647.333,-66132.6,-4590.26
22000,500,1655.32,670.944,-66397.3,-4345.72
22250,500,1535.34,602.081,-66219.6,-4226.24
22500,500,1486.33,663.965,-66362.2,-4378.12
22750,500,1537.84,658.537,-66226.1,-4350.01
23000,500,1490.87,655.449,-66505.6,-4218.09
23250,500,1512.97,638.991,-66328.2,-4424.03
23500,500,1431.62,643.549,-66224.8,-4112.03
23750,500,1465.07,622.244,-65966.7,-4149.7
24000,500,1479.34,621.479,-65845,-4202.21
24250,500,1593.46,599.09,-66038.5,-4382.31
24500,500,1496.44,688.093,-65692.9,-4420.77
24750,500,1571.96,638.631,-65679,-4662.94
25000,500,1601.68,655.518,-65778.3,-4637.76
25250,500,1587.2,576.758,-65799.8,-4609.11
25500,500,1627.24,656.826,-65542.1,-4596.3
25750,500,1512.26,675.935,-66150.5,-4307.37
26000,500,1478.39,625.204,-66098.2,-4326.02
26250,500,1524.68,621.596,-65972,-4372.28
26500,500,1507.93,593.403,-65998.5,-4396.08
26750,500,1604.38,633.518,-65812.6,-4475.18
27000,500,1521.01,586.936,-65730.2,-4465.66
27250,500,1603.06,681.062,-65933.5,-4511.25
27500,500,1567.18,671.268,-65943,-4300.37
27750,500,1564.81,666.181,-65663.1,-4567.74
28000,500,1728.9,631.311,-65679.8,-4738.09
28250,500,1603.43,611.423,-65567.6,-4637.49
28500,500,1594.25,620.468,-65669.1,-4440.73
28750,500,1565.8,638.353,-65889,-4482.4
29000,500,1662.02,670.438,-65818.7,-4148.18
29250,500,1454.41,680.173,-65820.3,-4048.12
29500,500,1526.01,664.66,-66213.3,-4097.11
29750,500,1506.65,619.825,-66317.9,-4267.29
30000,500,1520.19,626.342,-65962.8,-4300.58
30250,500,1469.57,679.794,-66195.6,-4293.02
30500,500,1496.28,667.439,-65650.2,-4591.72
30750,500,1498.95,584.718,-65990.3,-4308.46
31000,500,1487.87,578.553,-65650.1,-4455.14
31250,500,1465.11,643.436,-65594.7,-4525.06
31500,500,1516.71,639.215,-65880.7,-4151.81
31750,500,1483.96,668.82,-66172.4,-4218.87
32000,500,1568.03,607.253,-66074.5,-4344.41
32250,500,1583.05,684.109,-65787.3,-4466.63
32500,500,1703.57,701.937,-66154.1,-4558.47
32750,500,1652.55,613.271,-65747.4,-4529.34
33000,500,1677.85,634.384,-65353.6,-4634.05
33250,500,1702.2,617.94,-65869.8,-4646.26
33500,500,1792.65,617.29,-65552.1,-4790.16
33750,500,1696.03,690.423,-65544.3,-4644.98
34000,500,1718.92,676.038,-66067.4,-4764.13
34250,500,1673.32,656.351,-66062.2,-4562.57
34500,500,1664.81,643.35,-65764.1,-4628.93
34750,500,1625.08,692.897,-65993.5,-4564.21
35000,500,1618.14,661.775,-66001.3,-4523.67
35250,500,1570.27,690.116,-66184.6,-4389.36
35500,500,1551.62,695.874,-66067.9,-4602.96
35750,500,1543.39,635.077,-65726.1,-4404.9
36000,500,1688.27,677.057,-65923.2,-4287.76
36250,500,1724.77,671.527,-65747.3,-4661.96
36500,500,1664.73,675.017,-66026.1,-4475.97
36750,500,1704.07,713.921,-65823.2,-4585.99
37000,500,1755.77,676.236,-65684,-4844.51
37250,500,1694.64,621.918,-65849.7,-4726.15
37500,500,1605.42,677.827,-65828.8,-4727.7
37750,500,1485.62,667.108,-66111.9,-4178.17
38000,500,1616.45,652.602,-66281.1,-4363.35
38250,500,1716.6,660.112,-65750.4,-4569.73
38500,500,1731.69,739.059,-65899.8,-4550.2
38750,500,1648.88,598.647,-65618.2,-4687.17
39000,500,1551.2,692.809,-65772.2,-4441.65
39250,500,1553.41,658.359,-65875,-4339.55
39500,500,1470.78,675.342,-65529.5,-4303.61
39750,500,1462.12,620.302,-65724.3,-4338.11
40000,500,1607.45,721.987,-65862.8,-4385.34
40250,500,1467.55,637.12,-66137.5,-4197.44
40500,500,1488.49,673.658,-65991,-4177.35
40750,500,1417.18,642.752,-66059.5,-4119.08
41000,500,1425.77,652.056,-65688.9,-4253.85
41250,500,1464.34,673.109,-65868,-4352.52
41500,500,1575.75,657.103,-65744.2,-4426.5
41750,500,1602.91,656.364,-66055.2,-4352.93
42000,500,1599.76,653.914,-65958.4,-4499.58
42250,500,1639.24,694.16,-66230.9,-4263.93
42500,500,1582.43,652.987,-66269.7,-4521.13
42750,500,1610.5,650.661,-65972.3,-4522.34
43000,500,1563.74,673.933,-65692.8,-4338.45
43250,500,1559.32,659.123,-65924.2,-4545.77
43500,500,1570.29,625.202,-66225.8,-4370.66
43750,500,1579.32,613.252,-65690.7,-4558.07
44000,500,1492.54,705.581,-66248.7,-4306
44250,500,1586.22,720.712,-65936.2,-4225.31
44500,500,1491.29,709.549,-66052,-4546.85
44750,500,1491.06,650.446,-65996.9,-4303.24
45000,500,1514.23,689.405,-66335.4,-4053.94
45250,500,1499.38,653.271,-65486.1,-4336
45500,500,1444.26,596.878,-65829.6,-4102.09
45750,500,1447.09,678,-65765.5,-4308.52
46000,500,1577.76,605.013,-65918.6,-4226.12
46250,500,1527.98,682.046,-65940.3,-4400
46500,500,1542.45,574.529,-66251.8,-4404.64
46750,500,1592.18,705.497,-66538.3,-3961.13
47000,500,1544.62,650.685,-65814.6,-4375.31
47250,500,1547.4,702.767,-66081.1,-4502.62
47500,500,1574.09,730.811,-66330.4,-4368.37
47750,500,1534.21,722.081,-66393.4,-4237.05
48000,500,1444.07,682.253,-65757.3,-4323.75
48250,500,1513.35,673.349,-66063.6,-4423.95
48500,500,1496.73,621.457,-65859.9,-4290.16
48750,500,1594.58,634.57,-65865.3,-4278.07
49000,500,1560.37,638.548,-66101.2,-4523.03
49250,500,1601.91,619.523,-66095.5,-4563.21
49500,500,1672.34,687.974,-66172.6,-4386.3
49750,500,1594.5,679.789,-65727.3,-4604.59
50000,500,1750,651.788,-65932.7,-4732.55
50250,500,1567.77,674.579,-66059.5,-4290.92
50500,500,1620.06,690.174,-65862.7,-4330.76
50750,500,1638.33,668.917,-65998.8,-4384.88
51000,500,1617.56,633.787,-65783.7,-4251.02
51250,500,1548.07,646.832,-65961.1,-4245.32
51500,500,1571.27,629.093,-65565.1,-4597.1
51750,500,1755.5,645.017,-65339.7,-4893.75
52000,500,1693.31,594.614,-65390,-4740.57
52250,500,1726.61,598.953,-65539.5,-4826.33
52500,500,1698.02,650.135,-65594.8,-4658.7
52750,500,1596.91,610.084,-65661.6,-4629.42
53000,500,1523.19,657.217,-65708.2,-4509.46
53250,500,1673.14,592.792,-65967.2,-4497.46
53500,500,1658.89,732.875,-65551.8,-4651.87
53750,500,1637.35,639.219,-65865.4,-4463.04
54000,500,1668.44,664.256,-65898.8,-4379.33
54250,500,1734.15,654.289,-65630.4,-4810.75
54500,500,1560.52,658.327,-66037.6,-4334.23
54750,500,1566.86,659.99,-66183.7,-4501.4
55000,500,1650.17,658.045,-65730.3,-4690.81
55250,500,1547.76,632.98,-66001.7,-4346.77
55500,500,1681.14,575.567,-65539.7,-4518.12
55750,500,1591.98,671.522,-65604.8,-4541.12
56000,500,1662.59,599.564,-65953.5,-4471.77
56250,500,1719.78,613.756,-65744.8,-4641.06
56500,500,1663.89,642.859,-65165.7,-4763.78
56750,500,1528.26,633.929,-65510.1,-4489.02
57000,500,1664.71,601.784,-66030.6,-4402.22
57250,500,1712.74,586.493,-65935,-4493.64
57500,500,1551.19,671.078,-66279.8,-4517.33
57750,500,1564.99,655.41,-66385.8,-4512.01
58000,500,1750.05,630.796,-66555.6,-4477.73
58250,500,1700.15,648.842,-65839.1,-4718.74
58500,500,1680.5,652.938,-66290.8,-4587.44
58750,500,1595.55,638.956,-65890.9,-4664.08
59000,500,1680.47,658.199,-65943.2,-4670.19
59250,500,1519.33,626.587,-66110,-4358.5
59500,500,1619.85,630.242,-66155.7,-4590.79
59750,500,1511.34,672.189,-65765.4,-4502.06
60000,500,1509.02,658.918,-65348.2,-4579.53
60250,500,1536.14,648.209,-66094.7,-4291.99
60500,500,1469.15,647.351,-65682.4,-4475.21
60750,500,1478.33,630.657,-65846.1,-4252.49
61000,500,1454.47,624.854,-65479,-4487.49
61250,500,1617.71,641.306,-64912.2,-4599.9
61500,500,1605.61,649.278,-65651.1,-4621.46
61750,500,1607.01,674.387,-65895.9,-4543.91
62000,500,1663.68,657.358,-65807,-4573.25
62250,500,1649.38,652.074,-65978.2,-4406.87
62500,500,1665.46,666.424,-65796.9,-4802.94
62750,500,1757.47,592.443,-66111.9,-4648.95
63000,500,1781.63,723.437,-65918.8,-4797.85
63250,500,1699.94,671.494,-65730.6,-4732.69
63500,500,1748.03,648.628,-65537.7,-4756.86
63750,500,1723.34,623.717,-65697,-4694.84
64000,500,1589.29,655.395,-65952.8,-4554.82
64250,500,1619.92,638.696,-65832.3,-4348.53
64500,500,1657.32,665.916,-66121,-4420.08
64750,500,1735.66,632.445,-66363.6,-4625.1
65000,500,1741.86,612.722,-65991.2,-4574.01
65250,500,1592.41,580.167,-65745.6,-4598.64
65500,500,1745.7,665.133,-65972.8,-4808.79
65750,500,1625.54,621.954,-66433.1,-4404.88
66000,500,1652.36,630.292,-65915.7,-4475.55
66250,500,1705.6,609.698,-65471.1,-4759.76
66500,500,1749.15,626.715,-65323.5,-4815.91
66750,500,1624.71,607.918,-65480.9,-4481.94
67000,500,1721.48,627.093,-65750.1,-4665.2
67250,500,1951.48,590.757,-65503.2,-4956.02
67500,500,1892.37,616.894,-65463.1,-4988.94
67750,500,1794.44,659.526,-65724.7,-4710.03
68000,500,1921.81,642.842,-65726.1,-4941.24
68250,500,1844.02,693.085,-65734.5,-4957.07
68500,500,1848.52,669.099,-65482.8,-4916.37
68750,500,1779.4,681.565,-65592,-4756.8
69000,500,1874.24,684.696,-65904.6,-4849.48
69250,500,1752.11,684.094,-65619.7,-4855.5
69500,500,1898.89,659.243,-65263.2,-4963.23
69750,500,1713.84,688.648,-65412,-4573.56
70000,500,1880.74,629.908,-65679.9,-4819.12
70250,500,1739.73,658.824,-65660,-4794.96
70500,500,1788.62,626.937,-65677.6,-4706.81
70750,500,1664.93,644.848,-65778,-4769.5
71000,500,1951.93,632.977,-65751.8,-4948.92
71250,500,1931.53,652.947,-65217.6,-4944.96
71500,500,1860.03,611.997,-65329.6,-5004.56
71750,500,1793.64,701.5,-65557.3,-4956.28
72000,500,1869.53,708.933,-65387,-4951.64
72250,500,1845.54,654.834,-65675.2,-4899.37
72500,500,1900.66,619.812,-65713.1,-4876.86
72750,500,1810.97,608.655,-65489.3,-4858.66
73000,500,1801.26,625.316,-65633.7,-4830.03
73250,500,1784.01,633.426,-65475.5,-5101.5
73500,500,1861.06,648.174,-65977.3,-4752.77
73750,500,1815.56,700.177,-65902,-4717.83
74000,500,1908.06,642.067,-65514.2,-4865.03
74250,500,1771.2,619.967,-65855.1,-4670.27
74500,500,1845.23,658.634,-65689.4,-4784.02
74750,500,1716.74,690.586,-65614,-4806.36
75000,500,1798.36,655.91,-65656.1,-4760.62
75250,500,1826.65,661.786,-65851.9,-4575.24
75500,500,1835.78,621.238,-65731.7,-4780.31
75750,500,1977.77,671.182,-65671.2,-5142.12
76000,500,2007.52,728.311,-65754.2,-4784.7
76250,500,1862.06,670.342,-65434.3,-4677.92
76500,500,1989.67,660.69,-65364.3,-4896.96
76750,500,1673.32,640.933,-65889.8,-4461.46
77000,500,1674.28,602.773,-65675.9,-4590.64
77250,500,1633.09,614.406,-66062.8,-4371.33
77500,500,1724.04,645.286,-65824.6,-4465.35
77750,500,1767.18,745.217,-65498.3,-4873.11
78000,500,1604.27,621.246,-65994.9,-4708.66
78250,500,1635.08,719.791,-65393,-4785.51
78500,500,1719.64,703.532,-65832.7,-4403.59
78750,500,1712.4,687.235,-65461.3,-4647.36
79000,500,1699.46,562.512,-65819.8,-4482.74
79250,500,1713.76,694.86,-65889.9,-4513.19
79500,500,1726.18,649.388,-65702.2,-4748.28
79750,500,1753.09,646.457,-65783,-4697.99
80000,500,1779.8,670.991,-65826.9,-4419.07
80250,500,1563.13,625.587,-65761.7,-4392.56
80500,500,1637.25,670.742,-65989.3,-4368.77
80750,500,1553.73,653.021,-66206,-4176.21
81000,500,1652.96,692.081,-66340.5,-4701.61
81250,500,1602.04,646.4,-65864.7,-4457.24
81500,500,1673.03,633.879,-66292.1,-4451.47
81750,500,1722.67,645.887,-66184.5,-4398.87
82000,500,1703.54,662.45,-65769.1,-4882.02
82250,500,1708.41,618.695,-65684.2,-4808.46
82500,500,1667.59,652.762,-65643.8,-4520.33
82750,500,1586.75,633.18,-65434,-4605.83
83000,500,1669.29,681.247,-66021.7,-4689.34
83250,500,1690.18,663.837,-66000.1,-4780.65
83500,500,1558.77,628.65,-66529.6,-4318.99
83750,500,1563.85,665.287,-66146.4,-4628.44
84000,500,1713.15,601.623,-66279.3,-4676.5
84250,500,1671.53,681.941,-66348.1,-4502.11
84500,500,1684.73,617.354,-66071.4,-4610.16
84750,500,1819.42,705.794,-65661.6,-4818.23
85000,500,1667.98,711.981,-65835,-4569.15
85250,500,1657.31,636.326,-65693.9,-4678.4
85500,500,1618.42,642.923,-65955.8,-4453.03
85750,500,1613.66,659.338,-66128.7,-4489.8
86000,500,1659.57,670.48,-66065,-4370.18
86250,500,1616.73,685.698,-65137.4,-4816.72
86500,500,1705.42,688.902,-66043.4,-4493.28
86750,500,1653.58,719.386,-65786.3,-4544.58
87000,500,1610.42,643.069,-65340.2,-4479.89
87250,500,1608.29,679.608,-66072.2,-4463.31
87500,500,1631.23,579.066,-66308.5,-4486.95
87750,500,1699.42,648.561,-65704,-4451.42
88000,500,1582.78,696.599,-65623.9,-4520.12
88250,500,1642.44,594.705,-66172.3,-4370.68
88500,500,1620.97,645.219,-65890.3,-4572.99
88750,500,1462.68,622.117,-65691.7,-4568.65
89000,500,1556.65,664.671,-65642.8,-4487.46
89250,500,1610.27,615.848,-65598.5,-4610.13
89500,500,1598.61,657.37,-65926.6,-4444.03
89750,500,1659.97,620.589,-66041.3,-4388.78
90000,500,1603.73,725.149,-66015.2,-4475.18
90250,500,1673.26,613.682,-65965.2,-4492.56
90500,500,1691.19,684.769,-65520.5,-4562.26
90750,500,1625.7,632.834,-65593.5,-4440.52
91000,500,1647.71,679.095,-65837.6,-4376.13
91250,500,1568.27,657.391,-65746,-4259.28
91500,500,1494.28,718.076,-65968.4,-4257.08
91750,500,1475.81,609.817,-66087.5,-4438.31
92000,500,1516.43,705.702,-65941.3,-4383.48
92250,500,1548.64,705.176,-66110,-4126.89
92500,500,1520.97,679.469,-65872.9,-4313.42
92750,500,1510.44,641.026,-66082.7,-4417
93000,500,1408.66,613.846,-65680.9,-4371.59
93250,500,1574.93,682.36,-66164,-4366.78
93500,500,1529.94,713.851,-65930.2,-4372.28
93750,500,1508.03,689.89,-66260.7,-4383.69
94000,500,1528.57,646.583,-66111.9,-4379.85
94250,500,1385.85,658.282,-66467.2,-4244.09
94500,500,1432.42,655.77,-66089.1,-4183.9
94750,500,1479.06,735.33,-65960.1,-4399.17
95000,500,1495.21,644.351,-66054.9,-4516.83
95250,500,1569.69,628.838,-66135.6,-4620.73
95500,500,1470.29,627.616,-65914.8,-4224.87
95750,500,1500.31,632.504,-66336.8,-4384.06
96000,500,1492.84,714.699,-65944.3,-4218.86
96250,500,1500.76,689.446,-66002.3,-4189.44
96500,500,1596.32,752.887,-65883.6,-4431.95
96750,500,1513.03,625.256,-66246.1,-4193.38
97000,500,1584.54,687.199,-66230.7,-4337.63
97250,500,1475.02,645.449,-66086,-4071.07
97500,500,1444.33,676.041,-65759.6,-4275.5
97750,500,1513.44,665.418,-65625.3,-4407.37
98000,500,1566.47,588.734,-65921.6,-4326.74
98250,500,1603.45,695.278,-65572.6,-4415.67
98500,500,1501.86,612.51,-65566.6,-4257.34
98750,500,1440.32,691.13,-65813.3,-4377.77
99000,500,1581.68,716.374,-65672.3,-4269.17
99250,500,1473.29,686.374,-66187.9,-4443.25
99500,500,1589.96,615.554,-65634.5,-4424.17
99750,500,1540.53,652.059,-65730.3,-4305.46
100000,500,1510.03,688.898,-65561.3,-4569.43
100250,500,1466.87,599.157,-65827.5,-4188.5
100500,500,1462.27,691.031,-66037.8,-4112.09
100750,500,1495.71,658.712,-66035.7,-4414.29
101000,500,1488.34,695.456,-65691.2,-4241.56
101250,500,1443.91,646.18,-65887.1,-4244.84
101500,500,1590.21,643.245,-65798.8,-4370.74
101750,500,1586.67,725.285,-66056.2,-4471.06
102000,500,1614.12,645.799,-65895.2,-4481.72
102250,500,1471.15,676.916,-65799.4,-4353.76
102500,500,1539.53,686.362,-65655,-4450.3
102750,500,1577.63,611.912,-65678.6,-4374.48
103000,500,1453.15,574.639,-65544.1,-4300.28
103250,500,1521.86,599.723,-66301.7,-4565.76
103500,500,1545.07,608.089,-66012.1,-4363.09
103750,500,1418.56,608.038,-66211.8,-4343.22
104000,500,1477.44,634.887,-66273.7,-4014.36
104250,500,1520.4,706.932,-65708.3,-4262.93
104500,500,1464.99,643.642,-66029.7,-4331.96
104750,500,1416.86,558.618,-65826.4,-4435.68
105000,500,1520.08,658.087,-66453.1,-4410.69
105250,500,1456.77,632.942,-66097.7,-4263.2
105500,500,1482.41,663.738,-66082.6,-4440.7
105750,500,1534.94,661.718,-65926.4,-4318.08
106000,500,1433.17,651.658,-66120.3,-4183.85
106250,500,1472.41,677.078,-65872.6,-4381.47
106500,500,1382.12,657.662,-65831.5,-4299.92
106750,500,1600.91,670.408,-66039.8,-4278.68
107000,500,1650.43,630.39,-65684.9,-4446.2
107250,500,1566.52,635.927,-65714.2,-4501.87
107500,500,1533.22,634.844,-65901.7,-4395.27
107750,500,1584.71,624.711,-65834.6,-4457.23
108000,500,1565.03,735.294,-65870.5,-4263.18
108250,500,1592.99,687.639,-65515.1,-4485.65
108500,500,1535.48,625.381,-66111.2,-4363.57
108750,500,1614.32,638.101,-65637.8,-4560.72
109000,500,1578.36,600.243,-66232.7,-4493.55
109250,500,1757.49,634.871,-65773.1,-4761.11
109500,500,1603.66,668.116,-65214.5,-4302.5
109750,500,1665.23,662.48,-65506.2,-4414.71
110000,500,1516.85,678.609,-65438.8,-4462.83
110250,500,1657.08,661.09,-65441.2,-4590.76
110500,500,1567.34,637.294,-65319.2,-4408.58
110750,500,1593.78,641.977,-65685.3,-4606.21
111000,500,1637.67,727.653,-66059.2,-4392.12
111250,500,1710.09,621.779,-66130.2,-4508.97
111500,500,1703.1,648.063,-66184,-4546.4
111750,500,1800.25,626.322,-65974,-4704.91
112000,500,1752.93,635.694,-66330.3,-4714.56
112250,500,1647.64,637.65,-66077.6,-4744.16
112500,500,1606.13,618.817,-66104.5,-4410.68
112750,500,1605.27,638.477,-66543.5,-4565.31
113000,500,1617.93,643.362,-66358.5,-4475.02
113250,500,1605.63,668.118,-65595,-4566.56
113500,500,1649.02,625.294,-66130,-4609.13
113750,500,1695.67,663.378,-65681.4,-4697.28
114000,500,1697.86,595.987,-65777.1,-4436.17
114250,500,1727.23,588.723,-65772.1,-4658.62
114500,500,1697.56,648.281,-65530.5,-4799.27
114750,500,1749.53,682.394,-66024.3,-4607.3
115000,500,1607.35,697.129,-65762.1,-4515.95
115250,500,1646.69,644.794,-65876.2,-4632.48
115500,500,1712.25,679.504,-65949.8,-4465.67
115750,500,1670.72,654.175,-65731.9,-4610.49
116000,500,1638,704.369,-65435.7,-4619.04
116250,500,1637.55,644.095,-65746.2,-4574.25
116500,500,1704.66,645.191,-65260.7,-4634.75
116750,500,1691.05,647.109,-65773,-4556.52
117000,500,1695.84,626.258,-65267.2,-4766.64
117250,500,1613.65,715.709,-65767,-4512.39
117500,500,1628.19,641.603,-65559.6,-4674.33
117750,500,1624.28,589.034,-65796.3,-4842.32
118000,500,1523.26,684.584,-66396.4,-4562.89
118250,500,1566.55,623.288,-65953.7,-4609.49
118500,500,1607.25,598.896,-65913.2,-4564.64
118750,500,1713.87,557.438,-65573,-4734.56
119000,500,1716.26,600.738,-65826.9,-4702.35
119250,500,1647.89,650.855,-66281.1,-4359.84
119500,500,1540.17,652.382,-65904,-4256.5
119750,500,1585.85,618.307,-65982.7,-4451.06
120000,500,1653.42,624.762,-65826.4,-4524.82
120250,500,1617.75,621.062,-65932.1,-4503.54
120500,500,1605.24,638.103,-66018,-4568.86
120750,500,1683.28,599.427,-65862.9,-4454.26
121000,500,1673.93,619.109,-65761.5,-4419.03
121250,500,1507.59,739.537,-66094.2,-4503.05
121500,500,1581.24,677.572,-65496.7,-4654.35
121750,500,1424.32,688.649,-65580.7,-4200.23
122000,500,1508.08,639.702,-66309.4,-4520.83
122250,500,1528.05,653.47,-66169.9,-4331.97
122500,500,1615.71,657.472,-65993.3,-4227.57
122750,500,1601.91,650.481,-66191.5,-4251.26
123000,500,1409.73,630.085,-66009.7,-4189.77
123250,500,1421.2,698.846,-65873.4,-4119.64
123500,500,1445.26,728.845,-65876.6,-4228.11
123750,500,1631.55,694.919,-65881.8,-4591.43
124000,500,1690.98,669.681,-65906.9,-4667.69
124250,500,1616.81,718.888,-65778.1,-4572.4
124500,500,1667.57,698.302,-66001.3,-4373
124750,500,1623.1,667.21,-66262.5,-4319.64
125000,500,1647.85,714.033,-66099.3,-4434.96
125250,500,1770.75,678.612,-65892.7,-4805.37
125500,500,1677.37,631.351,-66195.4,-4630.35
125750,500,1764.49,611.04,-65658.5,-4660.94
126000,500,1682.71,612.246,-65858.7,-4779.02
126250,500,1767.18,594.632,-65503.7,-4847.98
126500,500,1599.85,671.374,-65682.6,-4601.52
126750,500,1752.82,665.951,-66242.2,-4721.9
127000,500,1682.1,609.489,-66344.9,-4650.77
127250,500,1537.49,696.831,-66038.7,-4505.2
127500,500,1576.72,641.182,-66437.1,-4323.26
127750,500,1710.24,626.116,-65853,-4677.1
128000,500,1733.12,661.083,-66509.3,-4358.04
128250,500,1776.11,676.747,-65777.1,-4751.69
128500,500,1776.13,649.555,-65938.1,-4665.89
128750,500,1771.62,673.523,-65891.2,-4828.53
129000,500,1701.04,707.037,-66353.8,-4680.67
129250,500,1684.44,659.068,-66157.1,-4674.26
129500,500,1639.58,668.065,-65636.9,-4526.23
129750,500,1682.02,614.478,-65524.3,-4597.08
130000,500,1626.36,705.392,-65602.7,-4502.38
130250,500,1558.92,711.256,-65794.6,-4335.6
130500,500,1731.86,674.875,-66546.6,-4490.88
130750,500,1536.66,676.41,-66015.5,-4454.09
131000,500,1687.94,638.711,-65792.2,-4428.2
131250,500,1615.52,682.997,-66043.6,-4505.36
131500,500,1570.91,630.72,-65992.4,-4444.74
131750,500,1548.42,703.782,-65725.2,-4478.51
132000,500,1643.92,646.127,-66106.7,-4290.73
132250,500,1657.76,618.479,-65995.9,-4504.43
132500,500,1559.95,676.572,-65413.2,-4665.47
132750,500,1627.04,651.459,-66019.7,-4373.83
133000,500,1550.69,702.483,-66320.9,-4417.52
133250,500,1576.53,631.792,-66003.9,-4229.27
133500,500,1519.95,655.293,-66017.9,-4376.82
133750,500,1418.02,606.088,-65959,-4204.61
134000,500,1483.81,636.452,-66090.8,-4075.12
134250,500,1434.51,683.594,-65770.1,-4239.24
